Année,Sexe,Contrat,Categorie,Valeur_effectifs,Source,Valeur_handicap,Pourcentage_sexe,Part_handicap,Evolution_annuelle
2017,Femme,Statutaires,Cadre,2010.0,Effectifs,,0.23946360153256704,,-23.076923076923073
2017,Femme,Statutaires,Cadre,589.0,Effectifs,,0.07017117477745373,,-70.69651741293532
2017,Femme,Statutaires,Cadre,1894.0,Effectifs,,0.22564381159337413,,221.56196943972836
2017,Femme,Statutaires,Cadre,757.0,Effectifs,,0.09018604296525037,,-60.03167898627244
2017,Femme,Statutaires,Cadre,8198.0,Effectifs,,0.9766779131164104,,982.9590488771465
2017,Femme,Statutaires,Cadre,208.0,Effectifs,,0.024780312994414896,,-97.46279580385459
2017,Femme,Statutaires,Cadre,524.0,Effectifs,,0.06242732696669907,,151.9230769230769
2017,Femme,Statutaires,Cadre,598.0,Effectifs,,0.07124339985894283,,14.122137404580148
2017,Femme,Statutaires,Cadre,58.0,Effectifs,,0.006909894969596462,,-90.3010033444816
2017,Femme,Statutaires,Cadre,,Handicap,163.0,,,0.0
2017,Femme,Statutaires,Exécution,785.0,Effectifs,,0.5301152747482797,,
2017,Femme,Statutaires,Exécution,27.0,Effectifs,,0.018233264227010892,,-96.56050955414013
2017,Femme,Statutaires,Exécution,283.0,Effectifs,,0.19111162134237342,,948.148148148148
2017,Femme,Statutaires,Exécution,54.0,Effectifs,,0.036466528454021784,,-80.91872791519434
2017,Femme,Statutaires,Exécution,42.0,Effectifs,,0.028362855464239167,,-22.22222222222222
2017,Femme,Statutaires,Exécution,542.0,Effectifs,,0.36601589670518164,,1190.4761904761906
2017,Femme,Statutaires,Exécution,1811.0,Effectifs,,1.2229793153746937,,234.1328413284133
2017,Femme,Statutaires,Exécution,1610.0,Effectifs,,1.0872427927958348,,-11.098840419657652
2017,Femme,Statutaires,Exécution,38.0,Effectifs,,0.025661631134311625,,-97.63975155279503
2017,Femme,Statutaires,Exécution,29.0,Effectifs,,0.01958387639197466,,-23.684210526315784
2017,Femme,Statutaires,Exécution,12.0,Effectifs,,0.00810367298978262,,-58.62068965517242
2017,Femme,Statutaires,Exécution,213.0,Effectifs,,0.1438401955686415,,1675.0
2017,Femme,Statutaires,Exécution,605.0,Effectifs,,0.40856017990154037,,184.03755868544602
2017,Femme,Statutaires,Exécution,274.0,Effectifs,,0.18503386660003646,,-54.710743801652896
2017,Femme,Statutaires,Exécution,8.0,Effectifs,,0.005402448659855079,,-97.08029197080292
2017,Femme,Statutaires,Exécution,93.0,Effectifs,,0.0628034656708153,,1062.5
2017,Femme,Statutaires,Exécution,731.0,Effectifs,,0.4936487462942579,,686.0215053763441
2017,Femme,Statutaires,Exécution,103.0,Effectifs,,0.06955652649563415,,-85.90971272229821
2017,Femme,Statutaires,Exécution,39.0,Effectifs,,0.026336937216793508,,-62.13592233009708
2017,Femme,Statutaires,Exécution,9.0,Effectifs,,0.006077754742336964,,-76.92307692307692
2017,Femme,Statutaires,Exécution,,Handicap,236.0,,,0.0
2017,Femme,Statutaires,Maîtrise,952.0,Effectifs,,0.11735352997445835,,
2017,Femme,Statutaires,Maîtrise,64.0,Effectifs,,0.007889312939459386,,-93.27731092436974
2017,Femme,Statutaires,Maîtrise,1453.0,Effectifs,,0.17911205782866385,,2170.3125
2017,Femme,Statutaires,Maîtrise,1952.0,Effectifs,,0.24062404465351123,,34.34273916035788
2017,Femme,Statutaires,Maîtrise,487.0,Effectifs,,0.06003274064869875,,-75.05122950819671
2017,Femme,Statutaires,Maîtrise,739.0,Effectifs,,0.09109691034782008,,51.745379876796704
2017,Femme,Statutaires,Maîtrise,235.0,Effectifs,,0.02896857094957743,,-68.20027063599458
2017,Femme,Statutaires,Maîtrise,70.0,Effectifs,,0.008628936027533701,,-70.2127659574468
2017,Femme,Statutaires,Maîtrise,2011.0,Effectifs,,0.24789700501957534,,2772.8571428571427
2017,Femme,Statutaires,Maîtrise,932.0,Effectifs,,0.11488811968087728,,-53.65489806066633
2017,Femme,Statutaires,Maîtrise,21.0,Effectifs,,0.0025886808082601106,,-97.74678111587983
2017,Femme,Statutaires,Maîtrise,4699.0,Effectifs,,0.5792481484768696,,22276.190476190477
2017,Femme,Statutaires,Maîtrise,3745.0,Effectifs,,0.4616480774730531,,-20.30219195573526
2017,Femme,Statutaires,Maîtrise,2548.0,Effectifs,,0.31409327140222676,,-31.9626168224299
